source,status,rows,new_rows,message,updated_at
listing_applications,dry_run,0,0.0,将调用THS_DR，窗口20240101至20260519；不写缓存,2026-05-19 14:16:00
ipo_master,dry_run,0,0.0,将调用THS_DR，窗口20240101至20260519；不写缓存,2026-05-19 14:16:00
ballot_results,dry_run,0,0.0,将调用THS_DR，窗口20240101至20260519；不写缓存,2026-05-19 14:16:00
margin_data,dry_run,0,0.0,将调用THS_DR，窗口20240101至20260519；不写缓存,2026-05-19 14:16:00
cornerstones,dry_run,0,0.0,将调用THS_DR，窗口20240101至20260519；不写缓存,2026-05-19 14:16:00
lockup_events,dry_run,0,0.0,将调用THS_DR，窗口20251120至20271110；不写缓存,2026-05-19 14:16:00
underwriters,dry_run,0,0.0,将调用THS_DR，窗口20240101至20260519；不写缓存,2026-05-19 14:16:00
bookrunners,dry_run,0,0.0,将调用THS_DR，窗口20240101至20260519；不写缓存,2026-05-19 14:16:00
market_index_quotes,dry_run,0,0.0,将更新固定指数，2026-05-14至2026-05-19,2026-05-19 14:16:00
company_profile,dry_run,0,0.0,将按2024+ IPO股票池分批拉取242只；batch=80,2026-05-19 14:16:00
financial_summary,dry_run,0,0.0,将按2024+ IPO股票池分批拉取242只；batch=80,2026-05-19 14:16:00
valuation_metrics,skipped,0,,未找到API命令，保留空接口,2026-05-19 14:16:00
shareholders,dry_run,0,0.0,将按2024+ IPO股票池分批拉取242只；batch=80,2026-05-19 14:16:00
southbound_holding,dry_run,0,0.0,将按2024+ IPO股票池分批拉取242只；batch=80,2026-05-19 14:16:00
daily_quotes,dry_run,0,0.0,将拉取242只，2026-05-14至2026-05-19,2026-05-19 14:16:00
close_snapshot,dry_run,0,0.0,将拉取242只收盘快照,2026-05-19 14:16:00
