thscode,ths_industry,corp_profile,ths_is_allback_mech_global,the_concept,ah_premium_rate
0068.HK,,"群核科技公司于2013年7月29日根据开曼群岛法律注册成立。Manycore是领先的云原生空间设计软件提供商,产品广泛应用于从住宅及办公楼到零售店及商业项目等业务场景。公司的软件以人工智能(AI)技术和专用图形处理单元(GPU)集群驱动,使设计师和企业能创造出引人入胜的设计,并通过即时及沉浸式的视觉效果进行体验。在公司软件打造的设计可转化为可生产图纸,从而支持自动化生产流程。公司软件的开放式架构可实现无缝的数据互操作性、持续的升级及可扩展性,为各个垂直产业的广泛应用带来巨大潜力。公司主要瞄准空间设计软件市场,根据弗若斯特沙利文的资料,按2024年收入计,公司以23.2%的市场份额成为中国最大的提供商。公司已扩展至具身人工智能训练及电子商务产品展示,使公司能够进军更广泛的通用设计及可视化软件市场,其中中国空间设计软件于2024年仅占4.4%。",,"港股成交额前100[HK],港股VIE架构公司,非H股内地民营企业,次新股[HK]",
0100.HK,,"MiniMax Group Inc.成立于2021年6月30日。MiniMax是一家全球化的AI大模型公司。公司由一群极具前瞻性的工程师创立,致力于推动人工智能科技创新,以执行各种人类智力任务,包括学习、推理、规划以及泛化多元领域知识。",,"联交所指定卖空证券,人工智能[HK],AIGC概念[HK],港股成交额前100[HK],次新股[HK],非H股内地民营企业,同股不同权公司,特专科技公司（18C）",
0300.HK,,美的集团股份有限公司的主营业务是智能家居、工业技术、楼宇科技、机器人与自动化、新能源、健康医疗、智慧物流等业务。公司的主要产品是智能家居业务、楼宇科技、机器人与自动化、工业技术、其他业务。2025年《财富》世界500强榜单，美的集团位居第246位，大幅跃升31位，连续10年跻身世界500强企业行列；2025年6月，《福布斯》杂志全球上市公司2000强排行榜，美的集团位列全球第184位，较上年大幅提升21位，凭借“AI+”核心战略与智能制造领域的突破性成果，荣登“2025福布斯中国人工智能科技企业TOP50”榜单；2025年9月，《福布斯》发布2025年全球最佳雇主榜单，凭借卓越的企业管理、优越的员工体验和持续的创新能力，美的集团连续两年成功入选，这不仅是对美的集团雇主品牌影响力的高度认可，更是对人才吸引与培养、企业文化建设等方面表现的充分肯定；据英国品牌评估机构BrandFinance发布的“2026年度全球品牌价值500强”榜单，美的集团排名提升43位并跃居至第228位，大幅领先国内同行业其他品牌；在全球突破战略的牵引下，美的持续提升海外市场的品牌影响力，2025年11月“2025福布斯中国出海全球化30&30系列评选”，美的连续两年荣膺“旗舰品牌”称号，此次评选强调专业化与体系化，以双轮驱动格局，展现中国企业从产品出口向生态共建的转型。,,"芯片替代[HK],数据中心[HK],华为概念[HK],机器人概念[HK],联交所指定卖空证券,港股通标的股票,深港通下的港股通标的股票,H股内地民营企业,H股",
0325.HK,,布鲁可集团有限公司是一家主要从事设计、开发及销售拼搭类玩具的投资控股公司。该公司的产品包括拼搭角色类玩具及积木玩具。该公司的自有知识产权（IP）包括百变布鲁可及英雄无限。该公司的授权IP包括奥特曼、变形金刚、火影忍者、漫威：无限传奇及小蜘蛛和他的神奇小伙伴们、小黄人、宝可梦等。该公司主要在国内市场开展其业务。,,"深港通下的港股通标的股票,港股通标的股票,联交所指定卖空证券,非H股内地民营企业,IP经济(谷子经济)[HK],玩具及消闲用品[HK]",
0470.HK,,无锡先导智能装备股份有限公司的主营业务是高端非标智能装备的研发设计、生产和销售。公司的主要产品是锂电池智能装备、固态电池智能装备、光伏智能装备、汽车及储能智能装备、智能物流系统、氢能装备、激光精密加工装备。公司凭借引领行业的技术沉淀与强劲的研发创新动能，接连斩获多项重磅荣誉——“胡润中国500强”、“全国工业和信息化系统先进集体”、“产业突出贡献企业”、“2025年产业贡献奖（企业类）”、“2025年能源品牌TOP10”等荣誉。,,"港股通标的股票,深港通下的港股通标的股票,H股内地民营企业,次新股[HK],H股",
0501.HK,,豪威集成电路(集团)股份有限公司的主营业务是芯片设计业务。公司的主要产品是图像传感器解决方案、显示解决方案、模拟解决方案。,,"深港通下的港股通标的股票,港股通标的股票,次新股[HK],H股内地民营企业,H股",
0600.HK,,"爱芯元智半导体股份有限公司成立于2020年4月20日。公司是AI推理SoC的供应商,专注为边缘计算与终端设备AI应用打造最先进的感知与计算平台。公司致力于构建先进的AI计算基础设施,推动人工智能普及化,普惠AI,造就美好生活。AI已成为当今最重要的技术之一。AI模型架构指AI模型中组件及流程的结构设计与组织方式,决定如何处理资料、如何训练及评估模型并生成预测。Trans former架构是近十年来最受欢迎的AI模型架构之一,已成为当今几乎所有主要大型AI模型的基础。随着大语言模型(‘LLM’)、视觉语言模型(‘VLM’)、视觉语言动作模型(‘VLA’)等基于Transformer架构的AI大模型的快速发展,全球科技巨头和创新型初创企业都对AI大模型的训练和推理进行了大量投资。AI大模型因其庞大的计算与内存需求,通常仅能部署于云端。然而,云端部署模式存在的延迟及隐私风险等问题,正推动行业向边缘推理架构延伸,通过在资源受限的终端设备实现高效的AI大模型计算。这场向边缘计算的范式拓展(即将AI任务从集中式云端下放至本地处理),开启了AI领域的变革机遇,更催生出全新的应用场景与应用落地。该行业此前专注于以训练为中心的范式,目前正拓展至推理的范式,应用经过训练和微调的AI大模型以实时生成预测或决策的过程,从而提供切实的现实世界价值。",,"次新股[HK],H股",
0638.HK,,深圳市广和通无线股份有限公司的主营业务是无线通信模块及其应用行业的通信解决方案的设计、研发与销售服务。公司的主要产品是数传模组、智能模组及AI模组。,,"港股通标的股票,深港通下的港股通标的股票,次新股[HK],H股内地民营企业,H股",
0664.HK,,"杭州铜师傅文创(集团)股份有限公司成立于2013年3月26日,公司(即铜师傅)自成立以来,一直专注于将传统工艺与现代设计和使用场景相结合,开发铜质文创产品。根据弗若斯特沙利文报告,截至2024年12月31日止年度,公司在中国铜质文创工艺产品市场按总收入计位列第一,市场份额达35.0%。中国铜质文创工艺产品市场于2024年约占中国金属文创工艺产品市场的6.3%,现为中国更广泛文创工艺产品市场的更细分领域,公司于2024年于该细分领域持有约0.2%的市场份额。",,"次新股[HK],H股",
0699.HK,,"宁波均胜电子股份有限公司的主营业务是提供汽车电子和汽车安全解决方案。公司的主要产品是汽车安全系统等。公司部分工厂获得了浙江“未来工厂”,工信部“智能制造试点示范”,“中国标杆智能工厂”等奖项。",,"港股通标的股票,深港通下的港股通标的股票,数字经济[HK],充电桩概念股[HK],机器人概念[HK],阿里巴巴概念[HK],无人驾驶[HK],华为概念[HK],5G[HK],新能源汽车[HK],H股,H股内地民营企业,次新股[HK]",
0800.HK,,"文远知行于2017年3月13日在开曼群岛注册成立。文远知行是L4级自动驾驶领域的全球先行者。公司部署的自动驾驶产品及解决方案覆盖中国、阿联酋、沙特阿拉伯、瑞士、法国、新加坡及日本等11个国家的30多个城市。公司的自动驾驶出租车服务,使公司成为全球首批同时在中国和中东地区实现规模化商业化运营的服务商之一。根据灼识咨询的资料,2024年,以城市道路L4级及以上自动驾驶产生的收入计,文远知行全球排名第二,占据21.8%的市场份额。",,"联交所指定卖空证券,次新股[HK],非H股内地民营企业,同股不同权公司,特专科技公司（18C）",
0805.HK,,新吉奥房车有限公司是一家主要从事制造及出口至澳洲的房车（RV）以及通过澳洲及新西兰的经销商及门店销售房车的投资控股公司。该公司的主营业务是从事设计、开发、制造及销售定制拖挂式房车。该公司以“Snowy River”、“Regent”及“NEWGEN”品牌销售其房车产品。该公司的产品包括Snowy River SRC系列、Snowy River SRT系列、Snowy River SRP系列、Regent RDC系列、Regent RCC系列、NEWGEN NG系列等产品。该公司也提供各种售后服务，包括房车保养、维修及各类房车零部件及配件的销售及升级。该公司主要在国外市场开展业务。,,非H股内地民营企业,
0917.HK,,趣致集团是一家主要从事提供人工智慧物联网（AIoT）行销解决方案的中国公司，专注于通过使用智能终端为快速消费品（快消品）品牌提供服务。该公司主要经营三个分部。AIoT营销解决方案分部主要包括OMO营销解决方案和增值营销解决方案。智能零售分部主要包括饮料、食品、化妆品及日用品等快消品零售。其他服务分部包括开发IT系统以及定制软件，涵盖IoT技术应用、信息共享和分析以及IT平台开发。,,"联交所指定卖空证券,港股通标的股票,深港通下的港股通标的股票,非H股内地民营企业",
0999.HK,,小菜园国际控股有限公司是一家主要从事自营连锁餐厅经营的控股公司。该公司的主营业务包括堂食业务、餐饮外卖服务及供应链管理。该公司还从事销售食材、新零售业务等其他业务。该公司在中国经营“小菜园”门店及其他品牌的门店，提供菜品涵盖多种类别，包括冷盘、炖菜、红烧菜、干锅菜、炒菜、煲仔菜、蒸菜、汤和点心。该公司在国内市场开展业务。,,"联交所指定卖空证券,餐饮连锁[HK],深港通下的港股通标的股票,港股通标的股票,非H股内地民营企业",
1021.HK,,"广东华沿机器人股份有限公司成立于2017年9月7日。公司是一家协作机器人公司,从事面向工业自动化应用的协作机器人(‘协作机器人’)及核心运动部件的研发、生产和销售。在更广泛的机器人行业中,机器人通常分为传统工业机器人、协作机器人及服务机器人三大类,其中协作机器人构成独立品类,专为实现精准自动化而设计,适用于需与人类近距离安全协作的环境。根据弗若斯特沙利文,2024年全球协作机器人市场收入达人民币75亿元,占整体全球机器人市场收入人民币4,316亿元的约1.7%。凭藉覆盖核心运动部件、协作机器人硬件及硬件原生HRC具身智能控制平台的综合能力,公司的协作机器人具备高稳定性、高精度及优异的运动控制性能。公司的产品架构进一步支持客户及系统集成商进行二次开发,并根据具体应用场景定制功能。因此,公司的协作机器人广泛应用于3C电子、汽车、医疗健康、金属加工及物流等多个行业领域。公司的产品组合中,E系列协作机器人主要部署于微小组件装配、精密加工、医疗检测等高精度应用场景,而S系列协作机器人则面向高负载、高吞吐量的工业场景设计,包括码垛、机床上下料、物料搬运及物流自动化等。于往绩记录期间,公司主要向中国大陆、欧洲、美洲及亚洲其他地区的客户销售机器人硬件。",,"H股内地民营企业,H股,次新股[HK],特专科技公司（18C）",
1187.HK,,可孚医疗科技股份有限公司的主营业务是医疗器械研发、生产、销售和服务。公司的主要产品是血糖尿酸监测系列、血压计、血氧仪、体温计、胎心仪、居家检测试纸、矫正/矫姿系列、助听器、轮椅、护理床、助行器、移位机、听力计、敷贴/敷料系列、健康防护系列、感染防控系列、成人护理系列、造口护理系列、呼吸机、制氧机、雾化器、便携制氧器、鼻腔护理、理疗仪、膏贴、拔罐、针灸针、按摩器、艾叶及制成品、刮痧板。,,"次新股[HK],深港通下的港股通标的股票,H股,H股内地民营企业,港股通标的股票",
1236.HK,,"深圳乐动机器人股份有限公司成立于2017年11月1日,公司为拥有一套智能机器人视觉感知技术产品矩阵的公司之一,覆盖多款智能机器人激光雷达创新产品。公司的智能视觉感知产品搭载至广泛的整机机器人(如扫地机器人、割草机器人、客房服务机器人、餐厅送餐机器人、巡检机器人及物流机器人)中。紧抓全球智能割草机器人市场爆发机遇,公司高效研发并成功量产了全智能割草机器人产品。公司以多模态感知技术、AI算法为核心,在智能机器人领域构建了从底层技术研发到上层应用落地的广泛能力。公司亦具备设计及制造整机机器人的自研能力。凭藉持续产品创新,公司不断开发迎合新兴场景的产品(如智能花园养护系统),成功实现品牌出海。",,"次新股[HK],H股内地民营企业,H股",
1276.HK,,江苏恒瑞医药股份有限公司的主营业务是药品的研发、生产和销售。公司的主要产品是马来酸吡咯替尼片、注射用卡瑞利珠单抗、瑞维鲁胺片、海曲泊帕乙醇酰胺片、羟乙磺酸达尔西利片、碘佛醇注射液。自2019年起，公司连续七年跻身美国《制药经理人》(PharmExec)杂志评选的全球制药企业50强榜单。,,"联交所指定卖空证券,港股通标的股票,深港通下的港股通标的股票,H股内地民营企业,次新股[HK],H股",
1304.HK,,峰岹科技(深圳)股份有限公司的主营业务是电机驱动控制专用芯片的研发、设计与销售业务。公司的主要产品是“双核”电机驱动控制专用MCU、三相直流无刷电机驱动控制器系列ASIC、单相直流无刷电机驱动控制器系列ASIC、三相栅极驱动器系列、半桥栅极驱动器系列、FMD系列MOSFET、智能功率模块IPM。,,"联交所指定卖空证券,深港通下的港股通标的股票,港股通标的股票,H股,次新股[HK]",
1318.HK,,毛戈平化妆品股份有限公司是一家主要从事美妆业务的的中国公司。该公司主要经营三个业务。产品系列业务从事通过“MAOGEPING”和“至爱终生”品牌提供彩妆和护肤品组合。化妆艺术培训业务从事提供全面的面授化妆培训课程。体验式及个性化客户服务业务从事在专柜为顾客提供个性化咨询及专业试妆服务。该公司的彩妆产品包括粉底、高光和阴影、眼妆、唇妆、奢华鱼子面膜等产品。该公司的护肤品主要包括面霜、眼部护理、面膜、精华液和洁面乳等。该公司主要在国内市场开展业务。,,"联交所指定卖空证券,化妆美容股[HK],零售股[HK],港股通标的股票,深港通下的港股通标的股票,H股内地民营企业,H股",
1333.HK,,博雷顿科技股份公司是一家主要从事电动工程机械研发和生产的中国公司。该公司从事设计、开发具有自动工作能力的电动工程机械并使其商业化，以及提供智慧运营服务。该公司的产品主要为电动装载机和宽体自卸车。该公司还设计及开发电动牵引车的动力系统成套件，并提供完整的牵引车出售及租赁。该公司的产品主要用于采矿及采石、能源及公用事业、物流及运输、制造及工业生产、建筑及基础设施以及农业等行业。,,"联交所指定卖空证券,深港通下的港股通标的股票,港股通标的股票,H股",
1334.HK,,瑞昌国际控股有限公司是一家主要从事制造及销售石油炼制及石化设备业务的公司。该公司的产品主要包括硫回收设备及挥发性有机化合物焚烧设备、催化裂化设备、工艺燃烧器和换热器及其相关零部件。该公司还为生产的设备及╱或配套设施向客户提供安装服务，如电气装设工程及机械装设工程。,,非H股内地民营企业,
1354.HK,,西安经发物业股份有限公司是壹家主要从事城市服务及物业管理服务的中国公司。该公司主要有三项业务。城市服务主要提供公共物业管理服务、城市环卫服务和城市增值服务。公共物业包括公共物业，如政府大楼、教育机构及医院。城市物业，如公共设施和基础设施。城市增值服务涵盖政府大楼。住宅物业管理服务对住宅物业提供基础物业管理服务和增值服务。商业物业管理服务对办公楼、产业园及厂房提供基础物业管理服务和增值服务。该公司主要在国内市场开展业务。,,H股,
1364.HK,,古茗控股有限公司是一家主要从事现制饮品生产和销售的投资控股公司。该公司主要透过加盟模式，开设门市并经营“古茗”品牌。该公司主要销售三类饮品：果茶饮品、奶茶饮品、咖啡饮品等。该公司主要在国内市场经营其业务。,,"深港通下的港股通标的股票,港股通标的股票,联交所指定卖空证券,非酒精饮料[HK],餐饮连锁[HK],非H股内地民营企业",
1384.HK,,"滴普科技股份有限公司成立于2018年5月3日。公司专注于为企业提供企业级大模型人工智能应用解决方案,助力企业大规模高效整合数据、决策及运营。凭藉公司的FastData Foil数据融合平台及Deepexi企业级大模型平台两大基础设施,实现Agentic人工智能应用在企业的部署及实施,公司向企业客户提供公司的FastData企业级数据智能解决方案(或FastData解决方案)及FastAGI企业级人工智能解决方案(或FastAGI解决方案)。以2024年的收入计,公司在中国企业级大模型人工智能应用解决方案市场排名第五,市场份额为4.2%。",,"深港通下的港股通标的股票,港股通标的股票,H股,H股内地民营企业,次新股[HK],特专科技公司（18C）",
1471.HK,,众淼控股(青岛)股份有限公司是一家主要从事提供保险代理服务及解决方案的中国公司。该公司通过三个分部开展其业务。保险代理业务分部从事分销四类保险产品包括财产保险产品、人寿及健康保险产品、意外保险产品及汽车保险产品。信息技术（IT）服务分部从事提供涵盖保险业务主要流程的数字化解决方案。主要软件/系统包括保险营销系统、保险理赔系统、在线培训系统、保险中介核心业务系统及人工智能（AI）服务系统。咨询服务分部主要包括人力资源咨询服务以及营销及推广服务。该公司主要在国内市场开展业务。,,"H股,H股内地民营企业",
1511.HK,,"驭势科技(北京)股份有限公司成立于2016年2月3日。公司是大中华区专注于无人化L4级技术的自动驾驶解决方案供应商。公司目前专注于封闭场景(特别是在机场及厂区)中的商用车,旗下解决方案为全场景通用,已应用于各种开放及封闭场景,覆盖物流、营运及机动车辆,囊括L2级至L4级自动驾驶级别。",,"H股,H股内地民营企业,特专科技公司（18C）",
1609.HK,,"北京天星医疗股份有限公司成立于2017年7月31日。公司是一家立足中国的医疗器械公司,专注于运动医学临床解决方案。据灼识咨询数据,按2024年销售收入计,公司是中国第四大运动医学设备提供商,市场份额约占中国运动医学植入物及器械市场的6.5%,也是最大的国产运动医学设备提供商。依托自主研发的植入物、有源设备、相关耗材及手术器械,公司提供针对肩部、膝部、髋部、足部╱踝部、肘部及手部╱腕部的肩袖、韧带、半月板等软组织损伤治疗,也提供运动康复及预防的全方位解决方案。",,"次新股[HK],H股内地民营企业,H股",
1641.HK,,"红星冷链(湖南)股份有限公司成立于2006年8月30日，公司是一家冷冻食品仓储服务及冷冻食品门店租赁服务提供商,总部位于湖南省长沙市,主要提供冷冻食品仓储服务。自2006年成立以来,公司已开发出一种业务模式,即将食品冻库与冷冻食品门店租赁相结合,让公司能够连结冷冻食品供应链中的批发商及零售商。就公司的冷冻食品仓储服务而言,公司向冷冻食品批发商及零售商提供冷冻食品库容及相关仓库管理服务(如货物分拣、分类及包装、存货盘点及追踪、进出库记录),以及消防安全及环境风险管理,彼等向公司支付冷冻食品仓储服务费。就公司的冷冻食品门店租赁服务而言,公司主要向冷冻食品批发商及零售商出租门店用于开展冷冻食品交易业务。公司向门店租赁客户收取门店租赁租金,包括门店月租金及每月溢价,而这主要取决于门店的具体位置。",,"H股内地民营企业,H股,次新股[HK]",
1768.HK,,"湖南鸣鸣很忙商业连锁股份有限公司成立于2019年12月12日。公司是中国一家成熟且稳步发展的食品饮料零售商。公司的门店多位于人流量大、易见易达的街边位置,致力于提供欢乐、舒适的逛店体验。公司提供品类丰富、高质价比、高频上新的产品。公司的创立,源自于创始人采用量贩模式,致力于满足大众消费者对于优质、平价的零食需求,并通过供应链重构、持续改善产品组合等方式,丰富了产品组合和重新定义了零售价格体系。而公司在零食领域积累的独到经验对其他领域亦有所裨益,并由此拓展到了更为广泛的品类。截至2025年6月30日,公司拥有由16,783家门店构成的网络,覆盖中国28个省份和所有线级城市,且其中约58%的门店位于县城及乡镇。于2024年,公司录得GMV人民币555亿元。截至2025年6月30日止六个月,公司录得GMV人民币411亿元,较2024年同期增长86.9%。根据弗若斯特沙利文报告,按2024年休闲食品饮料产品GMV计,公司是中国最大的连锁零售商;按2024年食品饮料产品GMV计,公司亦是中国第四大连锁零售商,并保持高速增长。根据中国连锁经营协会的资料,公司是2024年中国前十大连锁商之一,也是2024年前十大连锁商中增长最快的连锁商。",,"联交所指定卖空证券,次新股[HK],H股,H股内地民营企业",
1828.HK,,"富卫集团有限公司是一家主要从事人寿保险业务的投资控股公司。该公司主要提供分红人寿,非分红人寿,危疾、定期人寿、医疗及附加保险,单位连结式寿险,团体保险及其他保险产品。此外，该公司通过分销渠道从事保险产品的销售业务，包括银行保险、代理、经纪和独立财务顾问以及其他渠道如直接面向客户的电子商务平台。该公司主要在海内外市场销售产品。",,"深港通下的港股通标的股票,港股通标的股票,联交所指定卖空证券,次新股[HK]",
1879.HK,,"上海曦智科技股份有限公司成立于2018年2月27日。公司专注于光电混合算力领域,这是一种融合光子学与电子学优势的创新范式。于2017年,《自然光子学》发表了公司创始人沈亦晨博士的论文,该论文首次验证利用光进行计算的可行性,为该领域后续的技术发展奠定基础。凭藉这项科学突破,公司将前沿科研成果转化为工程能力及产品优势,并在此基础上开发多项技术,并将其转化为产品及解决方案。自成立以来,公司已构建以光互连及光计算为核心、以自研光电混合芯片技术为支撑的产品及解决方案组合,提供可扩展且具成本效益的解决方案。公司的技术具有低时延、高通量及低功耗等特点,从而推动计算性能的变革性提升,掀起新一轮创新浪潮。根据弗若斯特沙利文的资料,公司是全球首家实现光电混合算力大规模部署的公司。",,"港股成交额前100[HK],H股,次新股[HK],特专科技公司（18C）",
1989.HK,,广州广合科技股份有限公司的主营业务是多高层印制电路板的研发、生产与销售。公司的主要产品是印制电路板。公司“服务器主板用印制电路板”入选国家工业和信息化部办公厅、中国工业联合会组织开展的2022年第七批国家级“制造业单项冠军产品”，公司“AI服务器超高阶高多层复合基板项目”获得中国电子学会2025年科技进步奖三等奖，“超小台阶阶梯金手指PCB关键技术的研发及应用”项目荣获2025年度广东省电子学会科技进步奖二等奖，“用于高性能计算(HPC)的大BGA服务器主板”获2025年广东省高新技术协会科技进步奖二等奖。,,"港股成交额前100[HK],深港通下的港股通标的股票,港股通标的股票,H股,H股内地民营企业,次新股[HK]",
2026.HK,,"小马智行于2016年11月4日在开曼群岛注册成立。Pony是实现自动驾驶出行大规模商业化的领导者,为(i)截至最后可行日期唯一一家获得在四座一线城市提供面向公众的自动驾驶出行服务全部可得及所需监管许可的自动驾驶科技公司,截至同日运营一支由超过680辆自有自动驾驶出租车组成的车队;及(ii)中国首家于2024年12月获准在跨省高速公路上进行无人驾驶的自动驾驶卡车编队测试的公司,截至2025年10月21日运营一支由超过170辆自有及租赁自动驾驶卡车组成的车队。公司于2018年底成为首家在中国推出自动驾驶出行服务的L4自动驾驶科技公司,早于同业数月。公司提供的自动驾驶出行服务使乘客能够通过即时预约车辆的方式乘坐由公司专有的‘虚拟司机’技术驱动的无人驾驶车辆。根据弗若斯特沙利文的资料,公司是中国首批获得在四座一线城市的指定区域运营全无人驾驶的L4自动驾驶出租车经营许可的公司之一,也是唯一一家获得在该等城市提供面向公众(包括收费及非收费)的自动驾驶出行服务全部可得及所需监管许可的自动驾驶科技公司,而截至最后可行日期,公司的同业目前尚未在该等城市取得所有有关许可。此外,公司也是中国首家于2024年12月获得监管部门批准在跨省高速公路上进行无人驾驶的自动驾驶卡车编队测试的公司。",,"联交所指定卖空证券,次新股[HK],非H股内地民营企业,同股不同权公司",
2050.HK,,浙江三花智能控制股份有限公司的主营业务是制冷空调电器与汽车的零件部件组件的研发、生产与销售。公司的主要产品是阀、换热器、泵、控制器、传感器。,,"联交所指定卖空证券,港股通标的股票,深港通下的港股通标的股票,港股成交额前100[HK],H股,次新股[HK],H股内地民营企业",
2097.HK,,蜜雪冰城股份有限公司是一家主要从事销售现制饮品的中国公司。该公司的主营业务是从事根据加盟模式向加盟商出售门店物料（包括食材及包材）和设备。该公司有两大品牌，包括现制茶饮品牌“蜜雪冰城”和现磨咖啡品牌“幸运咖”。蜜雪冰城的主要产品包括冰鲜柠檬水、新鲜冰淇淋、珍珠奶茶、蜜桃四季春、满杯百香果、莓果三姐妹、桑葚莓莓等产品。幸运咖的主要产品包括美式咖啡、拿铁咖啡、椰椰拿铁等产品。该公司在国内和国外市场开展业务。,,"联交所指定卖空证券,深港通下的港股通标的股票,港股通标的股票,非酒精饮料[HK],H股,H股内地民营企业,餐饮连锁[HK],零售股[HK]",
